省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
北京市,海河流域,花园路,02-28 20:00,Ⅱ,13.1,7.91,16.07,766.1,3.1,2.35,0.025,0.033,6.75,*,*,正常
北京市,海河流域,白石桥,02-28 20:00,Ⅱ,10.7,8.35,13.90,497.9,2.0,1.45,0.142,0.024,4.35,*,*,正常
北京市,海河流域,八间房漫水桥,02-28 20:00,劣Ⅴ,11.0,7.34,10.86,919.1,6.5,5.11,4.121,0.137,7.99,*,*,正常
北京市,海河流域,码头,02-28 20:00,Ⅱ,7.5,7.85,14.37,1295.4,12.2,3.39,0.025,0.044,6.45,*,*,正常
北京市,海河流域,罗庄,02-28 20:00,Ⅲ,8.3,8.31,13.85,1261.2,7.1,4.00,0.533,0.142,8.65,*,*,正常
北京市,海河流域,小屯桥,02-28 12:00,Ⅱ,8.9,8.15,11.07,1253.9,9.3,3.99,0.227,0.092,8.03,*,*,正常
北京市,海河流域,怀柔水库,02-28 20:00,Ⅰ,5.8,7.99,12.48,423.2,2.1,1.91,0.025,0.005,1.84,*,*,正常
北京市,海河流域,东店,02-28 20:00,Ⅲ,10.4,8.41,12.33,826.5,63.5,4.82,0.186,0.073,8.02,*,*,正常
北京市,海河流域,密云水库,02-28 20:00,Ⅱ,1.5,8.36,10.74,339.4,1.0,2.29,0.449,0.005,2.44,*,*,正常
北京市,海河流域,大关桥,02-28 20:00,Ⅰ,2.3,8.16,13.48,463.3,1.3,1.04,0.025,0.005,2.94,*,*,正常
北京市,海河流域,辛庄桥,02-28 20:00,Ⅰ,6.4,8.20,12.40,700.9,2.1,0.85,0.025,0.005,8.70,*,*,正常
北京市,海河流域,谷家营,02-28 20:00,Ⅰ,5.6,8.16,13.76,729.0,2.2,1.51,0.025,0.005,4.89,*,*,正常
北京市,海河流域,后城,02-28 16:00,Ⅱ,7.6,8.16,11.11,565.1,39.9,1.52,0.137,0.059,9.90,*,*,正常
天津市,海河流域,三岔口,02-28 16:00,Ⅲ,7.8,7.91,12.19,580.0,6.8,2.58,0.611,0.033,2.28,*,*,正常
天津市,海河流域,北洋桥,02-28 20:00,Ⅱ,8.8,8.42,13.36,399.4,4.7,1.82,0.181,0.023,1.49,*,*,正常
天津市,海河流域,井冈山桥,02-28 16:00,Ⅲ,6.7,8.57,14.58,743.5,4.7,4.14,0.212,0.089,1.54,*,*,正常
天津市,海河流域,大红桥,02-28 16:00,Ⅲ,8.2,8.60,22.77,1017.5,3.8,4.77,0.330,0.044,1.98,*,*,正常
天津市,海河流域,曹庄子泵站,02-28 20:00,Ⅰ,7.9,8.18,12.39,264.2,2.1,1.33,0.066,0.005,1.34,*,*,正常
天津市,海河流域,生产圈闸,02-28 16:00,Ⅱ,7.6,8.29,11.05,1169.9,3.7,3.89,0.191,0.046,2.83,*,*,正常
天津市,海河流域,土门楼,02-28 16:00,Ⅲ,7.3,8.87,16.43,1088.6,13.8,5.92,0.084,0.078,8.88,*,*,正常
天津市,海河流域,尔王庄泵站,02-28 20:00,Ⅱ,6.3,8.26,11.49,640.1,5.8,3.32,0.076,0.024,2.11,*,*,正常
天津市,海河流域,大套桥,02-28 16:00,Ⅳ,6.9,8.85,15.23,920.2,8.3,6.51,0.025,0.082,6.98,*,*,正常
天津市,海河流域,黄白桥,02-28 20:00,Ⅱ,7.9,8.84,17.49,894.8,3.6,3.58,0.025,0.041,8.05,*,*,正常
天津市,海河流域,塘汉公路桥,02-28 20:00,Ⅲ,8.1,8.18,10.38,1558.0,15.5,4.98,0.116,0.084,4.00,*,*,正常
天津市,海河流域,海河大闸,02-28 20:00,劣Ⅴ,7.4,9.06,20.28,18510.4,18.1,13.21,0.057,0.167,2.45,*,*,正常
天津市,海河流域,沧浪渠出境,02-28 20:00,Ⅳ,8.1,8.16,13.17,4993.4,43.6,6.20,0.096,0.068,1.91,*,*,正常
天津市,海河流域,万家码头,02-28 20:00,Ⅳ,7.7,8.36,10.12,2337.0,14.4,7.27,0.065,0.062,1.29,*,*,正常
天津市,海河流域,蓟运河防潮闸,02-28 20:00,Ⅲ,6.8,8.26,11.12,1257.3,21.3,5.22,0.239,0.065,6.52,*,*,正常
天津市,海河流域,青静黄防潮闸,02-28 20:00,Ⅳ,8.8,8.72,12.19,5380.4,16.8,8.14,0.079,0.092,2.86,*,*,正常
天津市,海河流域,马棚口防潮闸,02-28 20:00,Ⅲ,9.5,8.57,11.74,1992.4,12.8,5.18,0.049,0.041,5.28,*,*,正常
天津市,海河流域,阎辛庄,02-28 20:00,Ⅲ,9.7,8.21,10.54,1711.1,11.2,5.41,0.125,0.062,7.46,*,*,正常
天津市,海河流域,于桥水库出口,02-28 20:00,Ⅱ,8.7,8.20,8.71,574.5,2.7,2.68,0.173,0.018,2.13,*,*,正常
天津市,海河流域,黎河桥,02-28 20:00,Ⅱ,5.9,8.11,13.23,698.5,4.7,2.33,0.055,0.026,11.67,*,*,正常
天津市,海河流域,沙河桥,02-28 20:00,Ⅱ,5.9,7.92,14.18,962.1,5.3,2.83,0.160,0.053,11.11,*,*,正常
天津市,海河流域,果河桥,02-28 20:00,Ⅱ,6.6,7.98,13.38,699.6,15.7,1.92,0.034,0.022,12.08,*,*,正常
天津市,海河流域,西屯桥,02-28 20:00,Ⅱ,6.6,8.05,18.05,687.9,7.1,1.78,0.025,0.025,2.58,*,*,正常
河北省,海河流域,岗南水库,02,,--,--,--,--,--,--,--,--,--,*,*,维护
河北省,海河流域,下槐镇,02-28 20:00,Ⅰ,7.6,8.62,12.48,630.8,10.5,1.24,0.025,0.015,3.34,*,*,正常
河北省,海河流域,地都,02-28 20:00,Ⅱ,15.4,7.80,9.45,1440.8,13.8,0.64,0.210,0.036,4.09,*,*,正常
河北省,海河流域,平山桥,02-28 20:00,Ⅱ,10.8,8.61,11.00,1066.9,23.3,0.57,0.025,0.036,7.55,*,*,正常
河北省,海河流域,兆通,02-28 20:00,Ⅰ,7.3,8.72,11.26,648.3,2.9,1.50,0.033,0.013,3.03,*,*,正常
河北省,海河流域,大石桥,02-28 16:00,Ⅲ,11.3,7.76,9.29,1614.6,15.4,5.38,0.511,0.131,9.73,*,*,正常
河北省,海河流域,大黑汀水库,02-28 20:00,Ⅰ,4.5,8.06,12.40,615.3,0.8,1.87,0.065,0.017,4.92,*,*,正常
河北省,海河流域,涧河口,02-28 20:00,Ⅳ,6.5,8.59,16.17,1527.2,10.5,6.49,0.343,0.107,6.81,*,*,正常
河北省,海河流域,丰北闸,02-28 20:00,Ⅲ,7.1,8.61,18.21,1469.9,10.3,5.05,0.060,0.043,2.93,*,*,正常
河北省,海河流域,滦县大桥,02-28 20:00,Ⅱ,6.0,8.02,10.97,771.4,3.8,2.64,0.278,0.060,5.80,*,*,正常
河北省,海河流域,戴河口,02-28 20:00,Ⅴ,7.2,8.22,14.50,36572.4,7.0,13.07,0.731,0.033,4.66,*,*,正常
河北省,海河流域,田庄子,02-28 20:00,Ⅰ,11.0,8.30,13.40,555.8,2.5,0.76,0.025,0.012,5.95,*,*,正常
